country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Afghanistan,AFG,2020,5.8,20143442151,84.296,Level：5
Albania,ALB,2020,0.980000019,15131866271,14.672,Level：2
Algeria,DZA,2020,2.270000076,1.45E+11,12.057,Level：4
Andorra,AND,2020,0.25,2891022273,6.091,Level：1
Angola,AGO,2020,7.15,53619073505,139.825,Level：5
Antigua and Barbuda,ATG,2020,0.64000001,1370281481,32.959,Level：2
Argentina,ARG,2020,0.860000038,3.86E+11,39.866,Level：2
Armenia,ARM,2020,1.089999962,12641697523,18.571,Level：3
Australia,AUS,2020,0.370000005,1.33E+12,8.081,Level：1
Austria,AUT,2020,0.35999999,4.35E+11,5.363,Level：1
Azerbaijan,AZE,2020,1.939999962,42693000000,41.797,Level：3
Bahamas,BHS,2020,1.230000019,9699500000,25.84,Level：3
Bahrain,BHR,2020,0.680000019,34723357447,9.185,Level：2
Bangladesh,BGD,2020,2.910000038,3.74E+11,76.411,Level：4
Barbados,BRB,2020,1.219999981,4671800000,42.421,Level：3
Belarus,BLR,2020,0.29000001,61371126414,11.904,Level：1
Belgium,BEL,2020,0.419999981,5.25E+11,5.239,Level：1
Belize,BLZ,2020,1.169999981,2080000000,56.671,Level：3
Benin,BEN,2020,8.590000153,15651545209,92.935,Level：5
Bhutan,BTN,2020,2.760000038,2325184481,19.242,Level：4
Bolivia,BOL,2020,2.539999962,36629843805,64.383,Level：4
Bosnia and Herzegovina,BIH,2020,0.569999981,19950471171,10.049,Level：2
Botswana,BWA,2020,4.479999924,14930072459,50.083,Level：4
Brazil,BRA,2020,1.469999981,1.45E+12,46.296,Level：3
Brunei,BRN,2020,1.15,12005825759,10.026,Level：3
Bulgaria,BGR,2020,0.60999999,70240275010,39.218,Level：2
Burkina Faso,BFA,2020,8.5,17933606353,112.228,Level：5
Burundi,BDI,2020,5.440000153,2649671999,54.36,Level：5
Cambodia,KHM,2020,2.570000076,25872798012,46.341,Level：4
Cameroon,CMR,2020,7.219999695,40773241531,111.522,Level：5
